"Datum Beginn";"Datum Ende";"Uhrzeit";"Ort";"Titel";"Interne Infos";"Ministrant";
"24.02.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"25.02.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"27.02.2022";"";"09:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -, -, -";
"03.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"04.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"06.03.2022";"";"09:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -, -, -";
"10.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"11.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"13.03.2022";"";"09:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -, -, -";
"17.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"18.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"20.03.2022";"";"09:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -, -, -";
"24.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"25.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"27.03.2022";"";"09:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -, -, -";
"31.03.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"01.04.2022";"";"18:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -";
"03.04.2022";"";"09:30 Uhr";"St. Suso [  Kirche St. Suso ]";"Hl. Messe";"";" -, -, -, -";
